g_,p_,micro_,macro_
2.8113596555306684,0.5,F1F1,aW
1.0524921040056539,0.25,F1W,aW
0.2847794523517418,0.1875,WW,aW
2.5448286737545303,0.4375,F1W,aW
0.8047683794071678,0.125,WW,aW
2.980438117074013,0.625,H1W,aF1
-0.4935173728433348,0.0,WW,aW
3.4144128811733525,0.5625,WH,aW
1.2009363010339498,0.25,F1W,aW
5.752696752465809,0.75,H1W,aF1
0.9064802920589565,0.125,WW,aW
1.8893417479960077,0.375,F1W,aW
1.1579815714864825,0.3125,F1W,aW
3.248986121736227,0.5,WH,aW
1.6863917827819819,0.1875,WW,aW
0.1476564197796042,0.125,WW,aW
4.1159321117836365,0.5,H1W,aF1
-0.16285099082099463,0.0625,WW,aW
0.9904445409329251,0.3125,WW,aW
1.0270695617727479,0.0625,WW,aW
0.30674322901868006,0.1875,WW,aW
-0.6001968551480399,0.0625,WW,aW
1.521750072278288,0.125,WW,aW
1.2991208890567565,0.25,WW,aW
1.3691767963892114,0.1875,WW,aW
-0.25522435183193437,0.0625,WW,aW
3.875150504482666,0.75,H1F1,aF1
3.6086198586889227,0.5,H1W,aF1
2.941593026876289,0.5625,H1W,aF1
1.753371099750464,0.25,F1W,aW
5.863113608363594,0.75,H1W,aF1
4.706299154459232,0.6875,H1W,aF1
0.32479301873819544,0.0625,WW,aW
4.771604845024471,0.625,H1W,aF1
1.137362233160442,0.25,F1W,aW
4.877186745893066,0.8125,H1F1,aF1
0.40354315163268173,0.125,WW,aW
0.268066459130824,0.1875,WW,aW
1.7051162040606846,0.3125,F1W,aW
1.621917214600681,0.3125,WW,aW
1.4654267961277172,0.3125,F1W,aW
4.2712013946038345,0.625,H1W,aF1
3.840527762283794,0.5625,H1W,aF1
1.4878779080058742,0.125,WW,aW
1.9784690904007858,0.3125,F1W,aW
2.8934233781663337,0.4375,F1W,aW
0.3267091374286375,0.25,WW,aW
-0.3332517863646202,0.0625,WW,aW
2.768302238451412,0.3125,F1W,aW
0.5385086779197517,0.125,WW,aW
3.7383647882752333,0.375,WW,aW
0.6587667101062886,0.0,WW,aW
2.148238067773522,0.25,WW,aW
4.27428209459882,0.5625,H1W,aF1
0.7041639365690995,0.125,WW,aW
0.6751632208332642,0.125,WW,aW
4.573244492603505,0.625,H1W,aF1
3.8037587943194544,0.375,F1W,aW
1.8247909127900201,0.4375,F1W,aW
0.7864106725960663,0.125,WW,aW
2.074942107264528,0.3125,WW,aW
0.33134205418393603,0.1875,WW,aW
3.921190024098501,0.625,F1F1,aW
-1.6033078725246501,0.0625,WW,aW
0.9876503120171602,0.1875,WW,aW
0.7206214604735953,0.1875,WW,aW
4.1616278830130895,0.75,H1F1,aF1
3.724338723388843,0.5,H1W,aF1
3.791677113595712,0.6875,H1W,aF1
0.624666507645455,0.0625,WW,aW
2.5956283440337566,0.4375,F1W,aW
6.565932809515012,0.8125,H1F1,aF1
3.1249900525049457,0.4375,F1W,aW
1.6619080663845978,0.375,F1W,aW
0.615763476936493,0.0625,WW,aW
-0.0068720366729063675,0.125,WW,aW
1.3378375114837562,0.4375,WW,aW
2.1997035021827576,0.25,WW,aW
4.5253659185073944,0.625,H1W,aF1
1.9305988037589412,0.375,F1W,aW
2.350667871174859,0.375,F1W,aW
4.546026146167176,0.5,H1W,aF1
0.647427719496787,0.25,WW,aW
0.5076825036129526,0.1875,WW,aW
2.652689484806367,0.25,F1W,aW
-0.5737522202546356,0.0625,WW,aW
1.2163452993214323,0.125,WW,aW
5.487718804388086,0.875,H1F1,aF1
5.97208220979946,0.875,H1F1,aF1
2.1937419398810034,0.3125,WW,aW
3.846040560007511,0.5,H1W,aF1
0.6166642252970422,0.1875,WW,aW
2.6297169033964143,0.375,F1W,aW
0.9494369730651372,0.25,WW,aW
1.109012948411391,0.25,F1W,aW
0.77063931828567,0.1875,WW,aW
1.5644380748467455,0.125,WW,aW
1.2302409521076696,0.0625,WW,aW
3.1190591075185052,0.5,F1W,aW
3.0873148559028043,0.375,F1W,aW
0.1963928944322219,0.0625,WW,aW
2.0739355876234344,0.1875,WW,aW
0.4242090577077803,0.0625,WW,aW
3.144672208388573,0.625,H1W,aF1
-0.4417452116373378,0.125,WW,aW
4.626106442028553,0.625,H1W,aF1
0.9937766742654944,0.0,WW,aW
2.846739915931418,0.4375,F1W,aW
0.8057849349153801,0.125,WW,aW
2.7902381512118,0.4375,F1W,aW
0.6323630603327549,0.0625,WW,aW
-0.39012813656874373,0.125,WW,aW
1.0778292119820765,0.1875,WW,aW
1.6379872177623238,0.5,H1W,aF1
3.5414298313238692,0.5625,H1W,aF1
0.6189624539243418,0.25,WW,aW
1.1557891310747375,0.25,F1W,aW
0.48871347971285395,0.1875,WW,aW
1.8134225260332264,0.1875,WW,aW
0.5531701276115109,0.125,WW,aW
-0.3187807713773352,0.125,WW,aW
2.728005924782946,0.5,F1W,aW
1.382394857031293,0.1875,WW,aW
3.111705708534411,0.5,H1W,aF1
0.9054282155112344,0.125,WW,aW
3.299156167359092,0.375,WW,aW
2.9541935183142694,0.5625,F1F1,aW
3.0023409517166155,0.3125,F1W,aW
1.6068361679925331,0.125,WW,aW
2.187498554086614,0.25,WW,aW
0.8005227834171237,0.1875,WW,aW
4.053045982178321,0.5,F1W,aW
2.587920326775439,0.375,F1W,aW
4.173851929189627,0.5,H1W,aF1
2.2436535682603305,0.25,WW,aW
0.4799299888949795,0.0,WW,aW
3.839351131736929,0.5625,H1W,aF1
-0.13854618206295463,0.0,WW,aW
0.10119394751566685,0.0,WW,aW
2.9106132033652186,0.375,WW,aW
3.980023689885587,0.5625,H1W,aF1
0.11019805646128988,0.25,F1W,aW
-1.526186712150511,0.0,WW,aW
5.6902736641266305,0.5625,H1W,aF1
2.0942032645209743,0.4375,F1W,aW
3.199149748946386,0.5,H1W,aF1
2.3132258529575345,0.1875,WW,aW
1.4228004403398693,0.0625,WW,aW
0.23890444378772344,0.125,WW,aW
1.1451295806149222,0.1875,WW,aW
3.3138185974517294,0.3125,F1W,aW
3.5992473628639066,0.5625,H1W,aF1
-0.6263881230807052,0.0,WW,aW
1.4552888441136802,0.25,WW,aW
3.0331654398847454,0.375,F1W,aW
0.41906070889567215,0.125,WW,aW
3.769184126614697,0.5,H1W,aF1
0.40802969783991055,0.125,WW,aW
1.841656211424833,0.3125,F1W,aW
1.3747351297368096,0.1875,WW,aW
0.8910379534187409,0.1875,WW,aW
2.6747406594180583,0.5,H1W,aF1
-0.0863892872929295,0.0625,WW,aW
1.2344723124490895,0.25,F1W,aW
1.2569430911391934,0.25,WW,aW
4.9775596944648575,0.6875,H1W,aF1
0.301379966888018,0.0,WW,aW
1.548362288863384,0.25,WW,aW
-0.6758594402494452,0.0625,WW,aW
1.3556401024302749,0.125,WW,aW
0.3165812995801939,0.25,WW,aW
4.084964954640884,0.5625,H1W,aF1
3.9547531153613913,0.5625,H1W,aF1
1.3857588680841724,0.0625,WW,aW
1.0464735628946649,0.125,WW,aW
1.6380096083131026,0.125,WW,aW
2.1654513533333155,0.375,F1W,aW
2.6733962026150495,0.375,WW,aW
3.278621001636376,0.5625,H1W,aF1
1.2018562422406824,0.25,F1W,aW
1.469624264156367,0.25,F1W,aW
4.273125975097755,0.75,H1F1,aF1
2.302943179174112,0.375,F1W,aW
1.7134360624952554,0.1875,WW,aW
-0.14318566686400752,0.0625,WW,aW
2.5811992648218705,0.375,F1W,aW
2.8232509094240847,0.4375,F1W,aW
2.0965322357300598,0.25,WW,aW
2.8705655490895015,0.5,H1W,aF1
0.053049329314589944,0.3125,WW,aW
4.137780364310148,0.6875,H1W,aF1
3.6362101078546036,0.5625,H1W,aF1
1.5585688941150013,0.1875,WW,aW
0.5237654204603477,0.1875,WW,aW
0.7376616274814664,0.0,WW,aW
0.9883048503546525,0.0625,WW,aW
2.787915275312452,0.5,F1W,aW
3.865193487525053,0.625,H1W,aF1
1.027525754412061,0.25,F1W,aW
3.862082793113142,0.5625,H1W,aF1
1.1122597848946225,0.3125,F1W,aW
4.464966343012427,0.5625,H1W,aF1
4.677844800663172,0.625,H1W,aF1
0.24058102794272013,0.125,WW,aW
2.3073886626150575,0.375,WW,aW
1.9871793059804317,0.375,F1W,aW
0.8555440804488441,0.25,WW,aW
3.7068764048667977,0.5625,F1W,aW
3.7551267494840816,0.5625,H1W,aF1
2.9965044053245284,0.5,F1W,aW
4.601174580013309,0.5625,H1W,aF1
7.117800312611544,1.0,H1H1,aH
-1.0652021935119078,0.0,WW,aW
6.993680326014932,1.0,H1H1,aH
2.3274287090180095,0.375,F1W,aW
1.8328137055956977,0.25,WW,aW
0.754274316512896,0.25,WW,aW
2.1326944622397495,0.375,F1W,aW
-0.3030733950055944,0.0625,WW,aW
1.5895082167856855,0.3125,WW,aW
3.2033951865314987,0.4375,WW,aW
0.14381988841189097,0.0625,WW,aW
2.5500912197951333,0.3125,F1W,aW
1.4014118645472233,0.125,WW,aW
2.879641310474222,0.25,WW,aW
1.5423957687068697,0.25,F1W,aW
0.5543810421479253,0.125,WW,aW
1.2204747498372062,0.1875,WW,aW
-0.636960440497126,0.0625,WW,aW
-0.21337862999300974,0.0625,WW,aW
1.2712617385491602,0.1875,WW,aW
1.448893438068182,0.25,WW,aW
2.243533251389754,0.3125,F1W,aW
0.4504696216866233,0.25,WW,aW
3.6321182756492605,0.5,H1W,aF1
1.1562304155571719,0.25,F1W,aW
-0.3394469495119255,0.0,WW,aW
1.382316593808177,0.25,F1W,aW
1.628891468774772,0.25,WW,aW
-0.3237281208408082,0.125,WW,aW
